,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Avarua,CK,-21.2078,-159.775,78.85,78,75,17.27
1,Miri,MY,4.4148,114.0089,77.14,94,40,4.61
2,Punta Arenas,CL,-53.15,-70.9167,39.31,81,0,17.27
3,Rikitea,PF,-23.1203,-134.9692,72.12,84,99,9.13
4,Dongsheng,CN,39.8161,109.9776,45.32,33,53,18.81
5,Sarramea,NC,-21.6421,165.8452,78.08,76,94,10.74
6,Jamestown,US,42.097,-79.2353,38.84,62,0,3.44
7,Albany,US,42.6001,-73.9662,38.05,79,12,3.27
8,Songea,TZ,-10.6833,35.65,64.76,91,43,4.88
9,Tuktoyaktuk,CA,69.4541,-133.0374,10.4,92,100,10.36
10,Tyret Pervaya,RU,53.6703,102.3106,7.86,60,100,12.59
11,Saint-Philippe,RE,-21.3585,55.7679,78.39,79,32,9.91
12,Asau,RO,46.4333,26.4,33.28,95,33,4.47
13,Porbandar,IN,21.6422,69.6093,71.58,60,0,0.0
14,Sovetskiy,RU,61.3614,63.5842,-4.49,99,6,1.54
15,Grand Gaube,MU,-20.0064,57.6608,79.38,68,28,8.01
16,Puerto Ayora,EC,-0.7393,-90.3518,67.55,97,61,4.0
17,Opuwo,NA,-18.0607,13.84,71.24,39,78,7.65
18,Touros,BR,-5.1989,-35.4608,77.72,77,6,11.65
19,Thompson,CA,55.7435,-97.8558,23.16,93,20,8.05
20,Ancud,CL,-41.8697,-73.8203,49.1,90,38,4.88
21,Portland,US,45.5234,-122.6762,49.71,92,75,7.0
22,Bredasdorp,ZA,-34.5322,20.0403,59.9,81,100,11.61
23,Pitangui,BR,-19.6828,-44.8903,63.75,96,100,1.97
24,Chokurdakh,RU,70.6333,147.9167,-30.89,100,66,4.79
25,Matara,LK,5.9485,80.5353,83.01,67,100,7.9
26,Nemuro,JP,43.3236,145.575,46.33,71,100,14.52
27,Hithadhoo,MV,-0.6,73.0833,81.88,74,60,13.85
28,Torbay,CA,47.6666,-52.7314,30.76,86,40,25.32
29,East London,ZA,-33.0153,27.9116,67.14,88,20,5.75
30,Pevek,RU,69.7008,170.3133,-21.35,94,100,2.93
31,Cherskiy,RU,68.75,161.3,-27.27,97,99,0.87
32,Cam Ranh,VN,11.9214,109.1591,85.96,70,20,5.75
33,Castro,BR,-24.7911,-50.0119,60.96,95,23,5.59
34,Bluff,NZ,-46.6,168.3333,56.8,67,33,24.49
35,Vaini,TO,-21.2,-175.2,84.36,74,40,12.66
36,Salalah,OM,17.0151,54.0924,77.83,57,83,2.33
37,Onguday,RU,50.75,86.15,2.62,85,41,1.59
38,Pokaran,IN,26.9167,71.9167,73.58,19,32,4.74
39,Arraial Do Cabo,BR,-22.9661,-42.0278,73.45,92,100,23.82
40,Aanekoski,FI,62.6946,25.818,20.86,100,100,5.61
41,Barrow,US,71.2906,-156.7887,6.82,85,100,18.41
42,Hasaki,JP,35.7333,140.8333,66.6,53,23,15.21
43,Koumac,NC,-20.5667,164.2833,80.24,74,43,13.82
44,Mahebourg,MU,-20.4081,57.7,79.25,78,40,8.05
45,Henties Bay,NA,-22.116,14.2845,60.19,83,9,5.03
46,Camalu,MX,30.85,-116.0667,59.22,62,0,4.52
47,Sarkhej,IN,22.9833,72.5,68.13,56,2,5.75
48,Hermanus,ZA,-34.4187,19.2345,57.79,79,100,15.95
49,Namibe,AO,-15.1961,12.1522,72.07,77,33,2.3
50,Busselton,AU,-33.65,115.3333,67.06,51,100,9.86
51,Esperance,AU,-33.8667,121.9,72.77,63,46,17.18
52,Atuona,PF,-9.8,-139.0333,77.76,78,11,13.04
53,New Norfolk,AU,-42.7826,147.0587,65.91,56,98,4.0
54,Hobart,AU,-42.8794,147.3294,66.25,60,94,3.0
55,Turkistan,KZ,43.0,68.0,51.71,57,100,6.46
56,Bethel,US,41.3712,-73.414,41.94,73,0,0.0
57,Alpena,US,45.0617,-83.4327,37.65,93,0,3.44
58,Ilulissat,GL,69.2167,-51.1,14.02,92,12,1.14
59,Taltal,CL,-25.4,-70.4833,62.49,85,41,1.05
60,La Rioja,ES,42.25,-2.5,33.58,84,57,6.8
61,Ushuaia,AR,-54.8,-68.3,38.86,81,75,24.16
62,Komsomolskiy,UZ,40.4272,71.7189,39.92,81,96,4.61
63,Colares,PT,38.7992,-9.4469,65.34,95,59,5.01
64,Narsaq,GL,60.9167,-46.05,41.22,66,97,11.61
65,Salima,MW,-13.7804,34.4587,74.97,77,100,6.17
66,Saldanha,ZA,-33.0117,17.9442,60.85,79,57,8.55
67,Georgetown,MY,5.4112,100.3354,84.88,84,20,3.44
68,Mataura,NZ,-46.1927,168.8643,56.48,62,50,11.59
69,Biak,ID,-0.9131,122.8766,84.11,65,100,1.59
70,Cape Town,ZA,-33.9258,18.4232,59.88,91,75,4.61
71,Lebu,CL,-37.6167,-73.65,56.62,93,34,14.72
72,Teknaf,BD,20.8624,92.3058,79.02,49,59,5.55
73,Provideniya,RU,64.3833,-173.3,19.51,79,100,13.42
74,Saint-Augustin,CA,51.226,-58.6502,9.7,89,67,15.19
75,Kavaratti,IN,10.5669,72.642,79.68,77,88,8.86
76,Rio Grande,BR,-32.035,-52.0986,55.51,78,0,5.48
77,Kaitangata,NZ,-46.2817,169.8464,54.99,66,77,15.17
78,Asind,IN,25.7333,74.3333,69.76,19,1,2.91
79,Praya,CV,14.9215,-23.5087,75.74,69,20,18.41
80,Constitucion,CL,-35.3333,-72.4167,61.2,79,30,10.85
81,Yulara,AU,-25.2406,130.9889,78.51,48,79,10.2
82,Bengkulu,ID,-3.8004,102.2655,79.09,79,100,4.41
83,Abu Kamal,SY,34.4506,40.9171,62.69,36,39,8.16
84,Strezhevoy,RU,60.7333,77.5889,1.27,96,100,9.06
85,Hwange,ZW,-18.3693,26.5019,71.94,74,99,1.54
86,Moses Lake,US,47.1301,-119.2781,32.36,93,100,8.05
87,Port Lincoln,AU,-34.7333,135.8667,64.76,63,0,10.29
88,Yellowknife,CA,62.456,-114.3525,18.12,86,100,6.91
89,Cabo San Lucas,MX,22.8909,-109.9124,74.52,69,20,4.61
90,Sorsk,RU,54.0033,90.2467,-5.87,76,93,4.9
91,Leningradskiy,RU,69.3833,178.4167,-3.75,98,100,3.62
92,Bonavista,CA,48.6499,-53.1147,27.03,87,99,20.24
93,Hilo,US,19.7297,-155.09,78.53,77,20,6.91
94,Mogadishu,SO,2.0371,45.3438,80.47,83,40,11.5
95,Mehamn,NO,71.0357,27.8492,22.91,79,1,13.8
96,Port Alfred,ZA,-33.5906,26.891,65.17,84,64,3.0
97,Kruisfontein,ZA,-34.0033,24.7314,61.88,77,90,7.31
98,Moorhead,US,46.8739,-96.7676,30.22,86,0,3.44
99,Celestun,MX,20.8667,-90.4,76.95,86,99,7.38
100,Markovo,RU,57.3206,107.0881,6.04,86,100,10.02
101,Bazna,RO,46.2,24.2833,39.94,85,98,3.15
102,Wabrzezno,PL,53.2799,18.9477,29.55,91,100,4.36
103,Port-Cartier,CA,50.0334,-66.8654,19.08,70,1,16.08
104,Riyadh,SA,24.6877,46.7219,59.14,32,100,5.77
105,Tasiilaq,GL,65.6145,-37.6368,32.16,63,87,11.14
106,Riberalta,BO,-10.9833,-66.1,72.77,99,99,0.31
107,Alberton,CA,46.8168,-64.0654,26.51,53,98,22.57
108,Aitape,PG,-3.1374,142.3475,81.09,79,100,1.88
109,Sao Filipe,CV,14.8961,-24.4956,76.68,64,100,10.38
110,Phonhong,LA,18.5007,102.4166,75.96,92,97,2.15
111,Tautira,PF,-17.7333,-149.15,75.9,86,100,16.75
112,North Branch,US,45.5113,-92.9802,41.07,88,77,5.53
113,Palmer,US,42.1584,-72.3287,37.92,78,0,0.0
114,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,73,75,8.05
115,Saint George,US,37.1041,-113.5841,54.19,29,0,13.8
116,Bambous Virieux,MU,-20.3428,57.7575,79.21,78,40,8.05
117,Aklavik,CA,68.2191,-135.0107,2.73,98,97,3.87
118,Rawson,AR,-43.3002,-65.1023,65.26,31,97,33.84
119,Laguna,US,38.421,-121.4238,55.31,66,0,0.0
120,Pacifica,US,37.6138,-122.4869,61.09,74,20,6.91
121,Kiama,AU,-34.6833,150.8667,68.45,69,4,11.32
122,Mandalgovi,MN,45.7625,106.2708,28.08,65,66,17.58
123,Qaanaaq,GL,77.484,-69.3632,11.44,93,93,1.88
124,Killybegs,IE,54.6333,-8.45,46.42,80,85,16.06
125,Cidreira,BR,-30.1811,-50.2056,64.65,78,3,3.38
126,Shimoda,JP,34.6667,138.95,67.1,74,85,10.76
127,Hauterive,FR,46.0901,3.4459,50.76,89,8,6.26
128,Half Moon Bay,US,37.4636,-122.4286,61.02,71,20,6.91
129,Niamey,NE,13.5137,2.1098,71.89,24,0,3.44
130,Longyearbyen,SJ,78.2186,15.6401,31.84,93,75,9.22
131,Kenai,US,60.5544,-151.2583,28.15,95,0,3.44
132,Kurumkan,RU,54.3,110.3,13.64,80,100,0.13
133,Zhashkiv,UA,49.2454,30.1102,36.84,93,100,14.45
134,Sao Joao Da Barra,BR,-21.6403,-41.0511,74.25,88,100,17.92
135,Dwarka,IN,22.2394,68.9678,79.47,38,17,8.75
136,Aasiaat,GL,68.7098,-52.8699,14.0,96,100,6.06
137,Doha,QA,25.2867,51.5333,69.78,70,0,3.44
138,Saskylakh,RU,71.9167,114.0833,-35.16,100,97,2.48
139,Antofagasta,CL,-23.65,-70.4,63.68,71,17,1.54
140,Paducah,US,37.0834,-88.6001,50.18,66,0,0.0
141,Butaritari,KI,3.0707,172.7902,80.96,69,11,2.82
142,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,51,75,6.71
143,San Felipe,VE,10.3399,-68.7425,70.7,98,58,0.6
144,Krasnoselkup,RU,65.7,82.4667,-28.41,100,86,5.44
145,San Patricio,US,28.017,-97.5169,69.66,97,96,6.89
146,Omboue,GA,-1.5746,9.2618,76.32,90,99,5.55
147,Bathsheba,BB,13.2167,-59.5167,79.41,83,40,20.71
148,Resistencia,AR,-27.4606,-58.9839,68.05,56,0,6.91
149,Price,US,39.5994,-110.8107,35.11,47,0,16.11
150,Beaverlodge,CA,55.2166,-119.4361,36.75,92,100,5.5
151,Isangel,VU,-19.55,169.2667,87.91,70,64,6.91
152,Kaihua,CN,23.3687,104.28,67.96,75,100,6.17
153,Kapaa,US,22.0752,-159.319,78.78,78,20,17.27
154,Richards Bay,ZA,-28.783,32.0377,73.13,80,0,14.43
155,Santa Fe,AR,-31.6333,-60.7,75.0,56,1,10.0
156,Rantepao,ID,-2.9701,119.8978,82.76,63,98,2.77
157,Pacific Grove,US,36.6177,-121.9166,57.54,83,0,6.91
158,Umiray,PH,15.2206,121.4111,82.53,80,96,8.79
159,Coahuayana,MX,18.7333,-103.6833,74.46,92,47,3.47
160,Ulaangom,MN,49.9811,92.0667,11.23,64,28,4.07
161,Broome,US,42.2506,-75.833,35.37,74,31,1.1
162,Parati,BR,-23.2178,-44.7131,71.92,93,100,4.54
163,Chivay,PE,-15.6383,-71.6011,43.66,62,100,1.21
164,Kodinsk,RU,58.6881,99.1844,-5.51,91,100,9.91
165,Cairo,EG,30.0626,31.2497,65.16,77,5,0.0
166,Awjilah,LY,29.1081,21.2869,57.58,65,3,9.1
167,Fairbanks,US,64.8378,-147.7164,10.36,87,100,0.0
168,Yenagoa,NG,4.9247,6.2642,74.93,92,57,2.77
169,Mazagao,BR,-0.115,-51.2894,80.65,96,99,2.73
170,Nizwa,OM,22.9333,57.5333,73.72,51,68,1.88
171,Kahului,US,20.8947,-156.47,78.82,68,75,9.22
172,Malakal,SS,9.5334,31.6605,76.03,39,66,2.3
173,Dobryatino,RU,55.5055,41.3195,23.99,94,100,6.02
174,Palana,RU,59.1167,159.9667,20.57,73,100,20.96
175,Houma,US,29.5958,-90.7195,61.0,94,0,4.61
176,Tessalit,ML,20.1986,1.0114,67.19,16,100,9.01
177,Payo,ID,-3.7508,103.6372,88.84,55,96,2.8
178,Huoqiu,CN,32.3394,116.2694,63.63,59,0,4.92
179,Dikson,RU,73.5069,80.5464,-21.78,98,91,14.43
180,Banfora,BF,10.6333,-4.7667,69.93,29,35,4.61
181,Sarangani,PH,5.4033,125.4636,82.36,78,97,20.8
182,Tirano,IT,46.2154,10.1679,42.53,74,2,9.6
183,Te Anau,NZ,-45.4167,167.7167,50.83,74,73,5.79
184,San Pedro,PH,14.35,121.0167,90.32,68,40,11.5
185,Carnarvon,AU,-24.8667,113.6333,76.44,55,0,13.22
186,Baruun-Urt,MN,46.6806,113.2792,29.26,52,54,11.32
187,Mitu,CO,1.1983,-70.1733,70.88,99,100,1.86
188,Pangody,RU,65.85,74.4859,-25.53,99,16,5.44
189,Labuhan,ID,-6.8844,112.2051,85.71,65,100,5.08
190,Plouzane,FR,48.3833,-4.6167,53.78,82,75,17.27
191,Qaqortoq,GL,60.7167,-46.0333,29.57,71,92,9.06
192,Berlevag,NO,70.8578,29.0864,22.95,68,23,17.27
193,Dawlatabad,AF,36.4141,64.9053,59.81,23,0,3.8
194,Sorland,NO,67.667,12.6934,39.06,58,90,16.11
195,Kaka,TM,37.3482,59.6143,58.37,28,98,3.04
196,Khatanga,RU,71.9667,102.5,-40.97,100,60,3.62
197,Almeirim,BR,-1.5233,-52.5817,74.43,94,74,2.86
198,Hamilton,US,39.1834,-84.5333,47.98,59,100,3.44
199,Jega,NG,12.2175,4.3792,68.02,19,4,10.2
200,Nishihara,JP,26.1842,127.7558,73.06,88,100,8.05
201,Ribeira Grande,PT,38.5167,-28.7,59.77,70,80,7.0
202,Sola,VU,-13.8833,167.55,90.27,70,40,4.61
203,Upernavik,GL,72.7868,-56.1549,20.75,91,100,4.99
204,Port Augusta,AU,-32.5,137.7667,83.7,19,40,6.69
205,Mar Del Plata,AR,-38.0023,-57.5575,63.95,80,0,2.3
206,Mpraeso,GH,6.5932,-0.7346,67.75,95,29,1.77
207,Vila Velha,BR,-20.3297,-40.2925,75.15,92,20,6.91
208,Caravelas,BR,-17.7125,-39.2481,73.09,91,100,4.72
209,Kodiak,US,57.79,-152.4072,36.91,75,20,21.85
210,Prince Rupert,CA,54.3161,-130.3201,49.69,91,100,48.34
211,Ullapool,GB,57.8987,-5.1604,41.23,93,99,8.86
212,Nikolskoye,RU,59.7035,30.7861,22.91,91,31,4.94
213,Ambon,ID,-3.6954,128.1814,89.74,70,20,10.36
214,Erzin,TR,36.9559,36.2,58.62,59,51,7.25
215,Campestre,BR,-21.7111,-46.2464,60.58,94,100,1.34
216,Nome,US,64.5011,-165.4064,21.27,86,100,0.0
217,Todos Santos,MX,23.45,-110.2167,71.31,70,73,5.53
218,Bilibino,RU,68.0546,166.4372,-8.28,94,100,4.36
219,Ambanja,MG,-13.6833,48.45,73.33,77,8,2.55
220,Monrovia,LR,6.3005,-10.7969,77.27,83,100,2.75
221,Sechura,PE,-5.5569,-80.8222,65.03,84,8,8.93
222,Ulladulla,AU,-35.35,150.4667,67.08,64,19,9.53
223,Airai,TL,-8.9266,125.4092,71.98,72,73,0.92
224,College,US,64.8569,-147.8028,10.35,87,75,0.0
225,Iqaluit,CA,63.7506,-68.5145,-5.31,63,0,6.91
226,Kamenka,RU,51.3223,42.7678,33.19,93,100,9.28
227,Hanzhong,CN,33.0728,107.0303,58.12,68,95,0.69
228,Belmonte,BR,-15.8631,-38.8828,73.72,89,89,5.53
229,Shagonar,RU,51.5333,92.8,5.52,74,13,0.27
230,Never,FR,46.9896,3.159,46.15,95,63,6.8
231,Souillac,MU,-20.5167,57.5167,77.38,78,40,8.05
232,Nanortalik,GL,60.1432,-45.2371,30.04,74,97,8.59
233,Lorengau,PG,-2.0226,147.2712,86.43,62,89,9.53
234,Shadegan,IR,30.6497,48.6647,66.15,54,85,3.58
235,Taoudenni,ML,22.6783,-3.9836,70.07,10,100,9.24
236,Sijunjung,ID,-0.6876,100.9537,88.66,53,88,3.71
237,Sumbawanga,TZ,-7.9667,31.6167,59.77,90,100,2.1
238,Kita,ML,13.0349,-9.4895,69.4,23,69,4.18
239,Hanmer Springs,NZ,-42.5167,172.8167,54.34,54,100,9.55
240,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.15,71,40,25.32
241,Harper,LR,4.375,-7.7169,77.43,85,32,5.53
242,Tabas,IR,33.5959,56.9244,44.82,36,53,4.61
243,Kariba,ZW,-16.5167,28.8,71.19,81,73,4.61
244,Tigil,RU,57.8,158.6667,23.22,80,100,17.16
245,Geraldton,AU,-28.7667,114.6,75.61,46,0,11.5
246,Tuatapere,NZ,-46.1333,167.6833,52.0,72,85,16.08
247,Galesburg,US,40.9478,-90.3712,47.89,81,0,5.75
248,Puerto Penasco,MX,31.3167,-113.5333,66.58,33,0,11.99
249,Victoria,HK,22.2855,114.1577,74.17,92,100,17.0
250,Itacoatiara,BR,-3.1431,-58.4442,73.42,95,100,2.77
251,Talnakh,RU,69.4865,88.3972,-30.68,96,12,1.83
252,Kenora,CA,49.8167,-94.4337,36.57,69,20,10.36
253,Iquitos,PE,-3.7481,-73.2472,73.44,94,40,1.14
254,Alofi,NU,-19.0595,-169.9187,82.29,65,75,10.36
255,Karpogory,RU,64.0019,44.4451,3.15,98,18,2.53
256,Avera,US,33.194,-82.5271,58.51,57,13,6.11
257,Kyabram,AU,-36.3167,145.05,70.3,48,6,9.26
258,Necochea,AR,-38.5473,-58.7368,58.17,70,0,7.05
259,Moultrie,US,31.1799,-83.7891,63.82,82,40,0.0
260,Acarau,BR,-2.8856,-40.12,78.58,74,56,14.76
261,Danilovka,RU,50.3557,44.1168,32.67,92,94,10.11
262,Chuy,UY,-33.6971,-53.4616,59.38,71,4,7.63
263,Paita,PE,-5.0892,-81.1144,64.56,86,11,7.18
264,Abha,SA,18.2164,42.5053,48.02,93,0,0.0
265,Portlethen,GB,57.0547,-2.1307,44.78,85,37,13.8
266,Cockburn Town,TC,21.4612,-71.1419,81.34,77,28,16.87
267,Juneau,US,58.3019,-134.4197,42.8,92,100,11.5
268,Puerto Colombia,CO,10.9878,-74.9547,78.89,79,2,10.31
269,Talaya,RU,61.3833,152.75,-13.83,95,100,5.5
270,Vanavara,RU,60.34,102.2797,-5.6,94,100,7.56
271,Bambanglipuro,ID,-7.95,110.2833,81.21,78,100,5.48
272,Yarada,IN,17.65,83.2667,82.72,78,75,2.3
273,Conceicao Do Araguaia,BR,-8.2578,-49.2647,74.26,90,100,0.74
274,Korla,CN,41.7597,86.1469,43.27,31,2,4.68
275,Faanui,PF,-16.4833,-151.75,79.39,76,98,7.67
276,Arbazh,RU,57.6804,48.3065,20.84,95,100,9.89
277,Hovd,MN,48.0056,91.6419,15.04,53,2,3.33
278,Katsuura,JP,35.1333,140.3,65.66,52,12,14.79
279,Marsh Harbour,BS,26.5412,-77.0636,78.94,76,5,8.32
280,Northam,GB,51.0333,-4.2167,47.25,83,7,16.37
281,Ahipara,NZ,-35.1667,173.1667,62.8,72,42,16.35
282,Leh,IN,34.1667,77.5833,17.47,46,0,2.33
283,Port Elizabeth,ZA,-33.918,25.5701,64.31,80,40,4.0
284,Gari,RU,59.4307,62.3497,-0.78,97,19,3.83
285,Rondonopolis,BR,-16.4708,-54.6356,74.61,75,76,1.41
286,Beloha,MG,-25.1667,45.05,80.24,55,1,9.08
287,Praia,CV,14.9215,-23.5087,75.74,69,20,18.41
288,Kalabo,ZM,-14.97,22.6814,67.39,85,98,3.89
289,Shasta Lake,US,40.6804,-122.3708,63.32,40,33,7.52
290,Nagothana,IN,18.5333,73.1333,83.62,34,16,3.02
291,Acapulco,MX,16.8634,-99.8901,80.42,83,20,5.75
292,Port Macquarie,AU,-31.4333,152.9167,77.9,55,7,10.33
293,Brae,GB,60.3964,-1.353,47.41,90,100,17.69
294,Olafsvik,IS,64.8945,-23.7142,40.15,88,100,37.94
295,Ipilan,PH,8.8431,117.9033,86.04,68,98,6.06
296,Luderitz,NA,-26.6481,15.1594,59.11,78,0,11.21
297,Khachrod,IN,23.4167,75.2833,69.85,34,0,7.09
298,Turukhansk,RU,65.8167,87.9833,-30.96,92,55,5.91
299,Lompoc,US,34.6391,-120.4579,63.79,93,0,5.75
300,Atherton,GB,53.5237,-2.4935,45.28,91,30,3.0
301,Dingle,PH,10.9995,122.6711,85.95,73,84,12.12
302,Klaksvik,FO,62.2266,-6.589,47.32,89,100,29.8
303,Florida,US,28.7505,-82.5001,69.78,85,100,4.61
304,Novouzensk,RU,50.4592,48.1431,37.45,86,100,12.75
305,Beringovskiy,RU,63.05,179.3167,24.49,92,99,6.2
306,Nara,JP,34.6851,135.8049,63.77,49,94,11.52
307,Satuk,TR,41.2263,32.3836,50.67,73,100,1.63
308,Ca Mau,VN,9.1769,105.15,86.43,68,100,10.54
309,Cachira,CO,7.741,-73.0483,56.48,96,97,1.61
310,Zhezkazgan,KZ,47.8043,67.7144,31.98,100,100,13.42
311,Ixtapa,MX,20.7,-105.2,74.23,88,0,0.0
312,Kerouane,GN,9.2667,-9.0167,66.58,44,73,1.3
313,Santa Cruz,BO,-17.8,-63.1667,74.66,69,100,4.61
314,Gat,IL,31.61,34.7642,64.4,100,85,4.36
315,Jiuquan,CN,39.7432,98.5174,41.59,27,97,3.22
316,Severo-Kurilsk,RU,50.6789,156.125,35.26,66,92,9.46
317,San Cristobal,VE,7.7669,-72.225,68.18,97,94,0.54
318,Beyneu,KZ,45.3167,55.2,41.36,75,0,10.6
319,Hirara,JP,24.8,125.2833,73.67,94,75,9.22
320,Aykhal,RU,66.0,111.5,-14.64,100,100,5.37
321,Cartagena Del Chaira,CO,1.3349,-74.8429,71.69,99,100,2.21
322,Taraz,KZ,42.9,71.3667,41.41,87,100,4.47
323,Poum,NC,-20.2333,164.0167,79.18,78,42,17.92
324,Kyaikto,MM,17.3,97.0167,85.37,61,45,1.48
325,Guasdualito,VE,7.2424,-70.7324,75.2,100,38,1.14
326,Scarborough,GB,54.2797,-0.4044,43.66,87,74,13.0
327,Okato,NZ,-39.2,173.8833,54.68,81,67,18.9
328,Fort Nelson,CA,58.8053,-122.7002,29.95,79,100,6.91
329,Sanary-Sur-Mer,FR,43.1178,5.8001,56.88,54,0,4.0
330,Makakilo City,US,21.3469,-158.0858,77.32,63,100,10.36
331,Pandan,PH,14.0453,124.1694,83.77,79,60,11.65
332,Norman Wells,CA,65.282,-126.8329,-0.36,78,40,0.0
333,Margate,GB,51.3813,1.3862,43.9,91,60,3.0
334,Hambantota,LK,6.1241,81.1185,82.74,78,20,2.3
335,Adrar,MR,20.5022,-10.0711,62.64,17,18,8.46
336,Alugan,PH,12.2188,125.4808,82.94,84,18,12.19
337,Kavieng,PG,-2.5744,150.7967,85.91,60,66,8.12
338,Praia Da Vitoria,PT,38.7333,-27.0667,57.76,94,75,16.89
339,Chara,RU,56.9064,118.2631,0.7,78,100,0.27
340,Estacion Coahuila,MX,32.1939,-115.0017,63.61,13,2,8.88
341,Kuytun,RU,54.3419,101.5036,4.12,67,100,11.86
342,Hastings,GB,50.8552,0.5729,51.78,73,44,20.36
343,Kayasula,RU,44.325,45.0,43.23,72,66,7.25
344,Petatlan,MX,17.5167,-101.2667,75.33,91,35,3.42
345,Esmeraldas,BR,-19.7625,-44.3139,68.86,92,100,1.5
