,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
346,Rzhaksa,RU,52.1338,42.0264,34.7,94,100,8.05
347,Bolshaya Dzhalga,RU,45.9695,42.6966,44.94,89,100,7.09
348,Bay Roberts,CA,47.5999,-53.2648,31.51,82,29,8.01
349,Vardo,NO,70.3705,31.1107,21.18,86,40,25.32
350,Nouakchott,MR,18.0858,-15.9785,60.73,27,26,10.42
351,Gazanjyk,TM,39.2446,55.5154,54.75,83,100,5.57
352,Kailua,US,21.4022,-157.7394,78.78,82,9,1.01
353,Warmbad,NA,-28.45,18.7333,55.17,66,0,7.34
354,Bilina,CZ,50.5485,13.7754,39.34,92,38,3.04
355,Dondo,MZ,-19.6094,34.7431,71.11,81,12,3.22
356,Formosa,AR,-26.1775,-58.1781,67.98,88,0,0.0
357,Kloulklubed,PW,7.0419,134.2556,82.9,75,19,9.73
358,Lodja,CD,-3.4833,23.4333,66.56,99,69,1.39
359,Balkanabat,TM,39.5108,54.3671,53.98,77,40,1.7
360,Okhotsk,RU,59.3833,143.3,0.19,79,100,16.96
361,Yumen,CN,40.2833,97.2,39.11,31,100,23.15
362,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,81,79,8.93
363,Bria,CF,6.5423,21.9863,69.21,83,93,2.64
364,Ketchikan,US,55.3422,-131.6461,50.47,87,100,25.32
365,San Juan,AR,-31.5375,-68.5364,81.7,19,4,4.99
366,Sanchazi,CN,42.0817,126.6003,43.3,62,37,6.08
367,Damphu,BT,27.0721,90.1096,70.48,41,21,3.44
368,Tuy Hoa,VN,13.0833,109.3,83.41,75,74,5.28
369,Partizanske,SK,48.6286,18.3846,39.96,90,100,4.23
370,Akhtyrskiy,RU,44.8546,38.3031,51.26,77,100,5.86
371,Cerritos,US,33.8583,-118.0648,65.7,78,0,0.0
372,Inca,ES,39.7211,2.9109,61.0,85,21,4.29
373,Marsa Matruh,EG,31.3525,27.2453,57.4,47,40,11.5
374,Inhambane,MZ,-23.865,35.3833,76.98,65,20,10.36
375,Hofn,IS,64.2539,-15.2082,43.63,94,100,34.4
376,Sidney,AU,-33.8679,151.2073,84.61,51,0,12.66
377,Yar-Sale,RU,66.8333,70.8333,-8.79,100,99,3.94
378,Abnub,EG,27.2696,31.1511,55.62,62,0,5.41
379,Gobabis,NA,-22.45,18.9667,67.64,12,83,8.88
380,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,72.1,99,100,0.04
381,Westport,US,41.1415,-73.3579,45.82,67,0,1.01
382,Yarensk,RU,62.1675,49.0916,6.08,94,6,5.08
383,Kedrovyy,RU,56.1667,91.8167,-10.14,92,100,10.83
384,Zhanaozen,KZ,43.3,52.8,43.66,51,0,6.82
385,Mount Pleasant,US,32.7941,-79.8626,57.34,81,40,8.05
386,Itupiranga,BR,-5.1347,-49.3267,80.92,94,96,0.56
387,Usinsk,RU,65.9939,57.5281,-2.87,100,93,5.12
388,Kayes,ML,14.0,-11.0,72.16,17,37,3.42
389,Mount Darwin,ZW,-16.7725,31.5838,68.25,82,95,5.7
390,Bhadra,IN,29.1167,75.1667,68.86,17,45,5.93
391,Ardakan,IR,32.31,54.0175,55.71,28,80,2.48
392,Pangkalanbuun,ID,-2.6833,111.6167,87.24,61,94,3.94
393,Umm Kaddadah,SD,13.6017,26.6876,66.85,29,9,13.22
394,Santa Maria,BR,-29.6842,-53.8069,56.5,88,0,0.0
395,Chokwe,MZ,-24.5333,32.9833,72.99,64,17,8.21
396,Lavrentiya,RU,65.5833,-171.0,15.66,83,100,10.85
397,Shelekhov,RU,52.2139,104.1,14.38,58,100,9.6
398,Sinop,TR,41.7711,34.8709,51.19,62,100,9.93
399,Nakambala,ZM,-15.8324,27.7799,66.85,87,26,4.41
400,Port Hedland,AU,-20.3167,118.5667,86.05,58,18,11.5
401,Baoqing,CN,46.3317,132.2111,28.56,37,2,1.1
402,Puerto Carreno,CO,6.189,-67.4859,73.99,92,91,3.11
403,Zhuhai,CN,22.2769,113.5678,73.18,94,75,16.11
404,Padang,ID,-0.9492,100.3543,75.25,72,98,4.63
405,Camabatela,AO,-8.1881,15.375,60.12,97,88,1.54
406,Saint-Joseph,RE,-21.3667,55.6167,81.46,74,11,8.61
407,Sinnamary,GF,5.3833,-52.95,78.03,88,98,7.56
408,Viedma,AR,-40.8135,-62.9967,68.13,45,2,7.7
409,Olinda,BR,-8.0089,-34.8553,80.33,69,75,5.75
410,Sitka,US,57.0531,-135.33,46.29,87,100,31.07
411,Qui Nhon,VN,13.7667,109.2333,81.93,79,31,4.47
412,Ypane,PY,-25.45,-57.5333,66.38,67,0,4.56
413,Teya,RU,60.3778,92.6267,-16.67,94,100,3.87
414,Areosa,PT,41.7178,-8.8571,56.41,95,100,10.71
415,Moron,AR,-34.6534,-58.6198,77.02,47,1,8.55
416,Camana,PE,-16.6228,-72.7111,67.6,89,99,6.26
417,Kanniyakumari,IN,8.0833,77.5667,81.07,61,96,9.22
418,Lashio,MM,22.9333,97.75,75.99,45,16,1.19
419,Da Nang,VN,16.0678,108.2208,84.18,79,75,3.44
420,Kashi,CN,39.4547,75.9797,51.01,18,0,6.71
421,Verkhnyaya Inta,RU,65.9811,60.3094,1.31,97,91,6.6
422,Vuktyl,RU,63.8567,57.3094,-10.77,100,92,3.8
423,Ailigandi,PA,9.2333,-78.0167,76.23,88,62,4.92
424,Mayo,US,38.8876,-76.5119,48.72,78,0,0.0
425,Ponta Do Sol,PT,32.6667,-17.1,66.13,67,29,4.94
426,Mecca,SA,21.4267,39.8261,76.41,67,4,2.89
427,Udachnyy,RU,66.4167,112.4,-19.55,68,100,4.14
428,Stromness,GB,58.965,-3.296,46.36,84,56,17.0
429,Vung Tau,VN,10.346,107.0843,82.35,76,94,15.77
430,Barra Da Estiva,BR,-13.6261,-41.3269,64.11,88,76,3.02
431,Meulaboh,ID,4.1363,96.1285,81.36,74,66,2.95
432,Cabedelo,BR,-6.9811,-34.8339,77.67,79,63,7.54
433,Muros,ES,42.7762,-9.0603,59.09,89,93,15.3
434,Fukue,JP,32.6881,128.8419,66.56,55,75,8.05
435,Singaparna,ID,-7.3515,108.111,80.04,77,99,3.58
436,Hokitika,NZ,-42.7167,170.9667,54.48,75,100,13.13
437,Kudahuvadhoo,MV,2.6708,72.8944,81.63,74,99,14.27
438,Husavik,IS,66.0449,-17.3389,39.99,96,100,12.44
439,Anadyr,RU,64.75,177.4833,21.7,92,100,40.26
440,Faya,SA,18.3851,42.4509,48.31,63,0,2.26
441,Villazon,BO,-22.0866,-65.5942,49.69,50,100,6.2
442,Negrar,IT,45.5288,10.938,44.82,93,1,3.44
443,Lasa,IT,46.6166,10.7002,29.03,92,36,6.93
444,Codrington,AU,-38.2667,141.9667,60.33,64,79,11.79
445,Puerto Leguizamo,CO,-0.1934,-74.7819,71.26,97,79,0.6
446,Forbes,AU,-33.3833,148.0167,73.35,35,0,7.43
447,Naze,JP,28.3667,129.4833,70.72,61,62,9.35
448,Kiunga,PG,-6.1219,141.2906,89.6,52,92,4.32
449,Flinders,AU,-34.5833,150.8552,68.25,67,7,11.54
450,Vallam,IN,10.7167,79.0833,82.45,65,76,1.14
451,Maragheh,IR,37.3917,46.2398,41.27,49,0,9.22
452,Voznesenye,RU,61.0106,35.4781,22.17,80,11,9.84
453,Batagay-Alyta,RU,67.8006,130.4114,-29.54,96,45,3.49
454,Garchitorena,PH,13.8804,123.6946,84.02,78,32,9.06
455,Novikovo,RU,51.1537,37.8879,20.28,97,97,2.13
456,Luganville,VU,-15.5333,167.1667,84.78,70,96,5.14
457,Rocha,UY,-34.4833,-54.3333,59.29,57,1,9.15
458,Bandarbeyla,SO,9.4942,50.8122,77.99,73,7,11.52
459,Xining,CN,36.6167,101.7667,43.43,18,0,0.58
460,Clarence Town,AU,-32.5833,151.7833,75.94,39,0,5.86
461,Verkhoyansk,RU,67.5447,133.385,-41.55,100,77,0.51
462,Kalmunai,LK,7.4167,81.8167,81.93,73,82,2.21
463,Burriana,ES,39.889,-0.085,62.67,70,83,6.42
464,Bardiyah,LY,31.7561,25.0865,60.33,73,7,15.41
465,Oranjemund,NA,-28.55,16.4333,59.95,83,43,2.1
466,Yen Bai,VN,21.7,104.8667,73.18,97,100,2.26
467,Shache,CN,38.4167,77.2406,55.06,15,10,2.59
468,Cap Malheureux,MU,-19.9842,57.6142,80.47,67,23,5.01
469,Russell,US,32.3502,-85.1999,58.23,93,0,0.0
470,Havre-Saint-Pierre,CA,50.2334,-63.5986,19.4,57,0,17.27
471,Tottori,JP,35.5,134.2333,59.07,67,75,12.66
472,Paso De Carrasco,UY,-34.8603,-56.0522,70.95,55,0,10.36
473,Vao,NC,-22.6667,167.4833,74.08,79,86,20.04
474,Grindavik,IS,63.8424,-22.4338,42.75,70,0,31.07
475,Uruzgan,AF,32.8333,66.0,50.54,20,0,0.89
476,Nizhneangarsk,RU,55.7833,109.55,13.57,68,100,6.06
477,Leshukonskoye,RU,64.8989,45.7622,-3.42,100,53,0.07
478,Kantemirovka,RU,49.7089,39.8592,29.61,91,63,2.01
479,Nantucket,US,41.2835,-70.0995,46.15,70,0,6.91
480,Tabou,CI,4.423,-7.3528,77.74,84,31,4.81
481,Pasni,PK,25.2631,63.471,75.29,24,92,8.39
482,Luba,GQ,3.4568,8.5547,76.89,80,13,0.74
483,Cayenne,GF,4.9333,-52.3333,75.24,94,20,0.0
484,Evans,US,33.5337,-82.1307,57.54,60,0,5.75
485,Hobyo,SO,5.3505,48.5268,79.83,70,3,11.14
486,Seoul,KR,37.5683,126.9778,56.77,52,75,2.3
487,Vagur,FO,61.4732,-6.8119,47.84,84,100,21.43
488,Lamar,US,33.6668,-95.5836,50.36,91,100,9.22
489,Semirom,IR,31.4167,51.5667,38.62,70,100,1.05
490,Redlands,US,34.0556,-117.1825,64.44,27,0,6.91
491,Varkaus,FI,62.3153,27.873,17.31,83,70,5.73
492,Pirapo,PY,-26.85,-55.5333,57.27,76,0,1.74
493,Pimenta Bueno,BR,-11.6725,-61.1936,71.51,97,96,0.67
494,Davenda,RU,53.5556,119.317,10.6,89,100,2.48
495,Fortuna,US,40.5982,-124.1573,47.32,100,0,10.36
496,Kondinskoye,RU,59.6481,67.41,-13.67,98,5,4.23
497,Nabire,ID,-3.3667,135.4833,83.05,78,57,2.48
498,Mount Isa,AU,-20.7333,139.5,94.77,16,67,8.05
499,Quatre Cocos,MU,-20.2078,57.7625,80.1,69,38,12.48
500,Shelburne,CA,44.0787,-80.2041,32.76,84,4,5.46
501,Lima,PE,-12.0432,-77.0282,66.9,81,0,10.36
502,Vershino-Shakhtaminskiy,RU,51.3012,117.8868,11.95,78,100,2.8
503,Duartina,BR,-22.4144,-49.4039,68.04,87,100,1.83
504,Cerro De Pasco,PE,-10.6833,-76.2667,34.32,96,99,1.63
505,Kaeo,NZ,-35.1,173.7833,68.32,66,46,14.34
506,Tiksi,RU,71.6872,128.8694,-26.63,100,100,4.07
507,Turbat,PK,26.0023,63.044,73.56,11,100,5.57
508,Helong,CN,42.5397,128.9972,46.44,46,12,1.72
509,Kawalu,ID,-7.3817,108.2082,79.66,81,100,3.22
510,Boyolangu,ID,-8.1181,111.8935,82.11,77,99,9.17
511,Filingue,NE,14.3521,3.3168,70.11,17,1,9.8
512,Waiouru,NZ,-39.4833,175.6667,48.27,81,51,11.81
513,Huilong,CN,31.8111,121.655,62.85,58,36,6.4
514,Lac Du Bonnet,CA,50.2536,-96.0612,24.55,97,55,4.03
515,Rivera,UY,-30.9053,-55.5508,56.93,68,0,2.53
516,Novopavlovka,RU,51.2172,109.2091,17.78,81,95,4.18
517,Ambilobe,MG,-13.2,49.05,78.78,64,1,5.06
518,Lakes Entrance,AU,-37.8811,147.981,69.17,64,14,13.51
519,Kinshasa,CD,-4.3246,15.3215,77.32,94,20,3.44
520,Knysna,ZA,-34.0363,23.0471,64.87,78,100,4.12
521,Xanlar,AZ,40.5869,46.3158,47.71,82,75,4.61
522,Danville,US,36.586,-79.395,48.78,50,0,0.0
523,Havelock,US,34.8791,-76.9013,57.18,75,100,3.44
524,Lodwar,KE,3.1191,35.5973,80.29,49,51,5.53
525,Easton,US,40.6884,-75.2207,40.64,69,0,0.0
526,Kang,BW,-23.6752,22.7876,69.66,65,98,5.41
527,Polovinnoye,RU,54.7914,65.9864,13.03,78,100,10.33
528,Wonthaggi,AU,-38.6044,145.5913,62.82,70,100,11.56
529,Bombay,IN,19.0144,72.8479,80.58,41,34,5.75
530,Pochutla,MX,15.7432,-96.4661,75.81,84,97,3.58
531,Kyabe,TD,9.4515,18.9449,78.06,30,94,4.83
532,Adre,TD,13.4667,22.2,65.53,32,9,11.25
533,Port Blair,IN,11.6667,92.75,82.44,83,75,5.75
534,Soe,ID,-9.8607,124.284,78.91,67,100,3.71
535,Kikwit,CD,-5.041,18.8162,67.84,95,63,1.68
536,Clyde River,CA,70.4692,-68.5914,-5.57,71,100,4.61
537,Bahia Honda,CU,22.9036,-83.1592,75.74,90,26,6.87
538,Poya,NC,-21.35,165.15,79.52,74,77,11.79
539,Jangaon,IN,17.7167,79.1833,78.82,49,89,5.84
540,Corinto,GR,37.9407,22.9573,53.89,73,1,7.02
541,Walvis Bay,NA,-22.9575,14.5053,58.15,77,70,0.0
542,Mayumba,GA,-3.432,10.6554,77.41,86,79,6.22
543,Camacha,PT,33.0833,-16.3333,65.62,56,40,3.44
544,Lebyazhye,RU,55.2689,66.4947,11.95,76,100,10.13
545,Ostrovnoy,RU,68.0531,39.5131,22.93,85,78,6.02
546,Diamantino,BR,-14.4086,-56.4461,74.07,78,90,1.19
547,Paamiut,GL,61.994,-49.6678,26.91,63,100,9.62
548,Kununurra,AU,-15.7667,128.7333,78.78,89,75,6.91
549,Bereznik,RU,62.8551,42.7072,9.68,94,9,4.34
550,Montelimar,FR,44.5584,4.7509,42.53,89,2,5.88
551,Vanimo,PG,-2.6741,141.3028,80.37,82,100,3.67
552,Belle Fourche,US,44.6714,-103.8522,39.33,62,100,17.69
553,Pocao De Pedras,BR,-4.6667,-44.85,75.88,88,66,5.61
554,Caucaia,BR,-3.7361,-38.6531,80.04,74,20,8.05
555,Zhuanghe,CN,39.7008,122.9911,52.43,76,8,5.41
556,Sharjah,AE,25.3573,55.4033,75.18,88,0,5.75
557,Svetlogorsk,BY,52.6333,29.7333,15.44,96,100,6.2
558,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.52,82,38,3.65
559,Sioux Lookout,CA,50.1001,-91.917,32.07,80,20,6.91
560,Maltahohe,NA,-24.8333,16.9833,63.63,24,0,5.44
561,Likasi,CD,-10.9814,26.7333,59.95,95,100,1.66
562,Ridgecrest,US,35.6225,-117.6709,46.26,25,75,3.44
563,Chifeng,CN,42.2683,118.9636,44.69,50,90,1.45
564,Krasnyy Oktyabr,RU,56.1167,38.8833,23.11,95,99,5.32
565,Road Town,VG,18.4167,-64.6167,80.69,71,6,19.62
566,Yola,NG,9.2,12.4833,70.92,24,100,1.03
567,Sardinata,CO,8.0829,-72.8007,74.88,98,92,3.11
568,Lakshmipur,BD,22.95,90.8333,76.37,59,30,9.06
569,Atar,MR,20.5169,-13.0499,64.69,15,0,7.31
570,Bekovo,RU,52.4663,43.712,35.38,96,100,9.93
571,Ossora,RU,59.2353,163.0719,21.09,78,99,5.48
572,Dhidhdhoo,MV,6.8833,73.1,81.27,66,100,13.0
573,Pouebo,NC,-20.4,164.5667,80.96,72,54,3.11
574,Junction City,US,39.0286,-96.8314,51.66,86,100,10.36
575,Guerrero Negro,MX,27.9769,-114.0611,61.68,72,0,9.86
576,Eha Amufu,NG,6.6592,7.7596,69.19,37,2,1.74
577,Baudh,IN,20.8416,84.3213,74.88,47,12,1.59
578,Elliot Lake,CA,46.3834,-82.6331,28.35,97,51,3.74
579,Cedar Falls,US,42.5278,-92.4455,44.55,85,0,5.75
580,Qianguo,CN,45.1171,124.8568,30.99,45,100,6.6
581,General Pico,AR,-35.6566,-63.7568,70.47,44,2,3.2
582,Broken Hill,AU,-31.95,141.4333,79.2,21,37,6.33
583,Karratha,AU,-20.7377,116.8463,88.21,40,90,12.1
584,Taketa,JP,32.9652,131.3785,63.79,53,63,3.71
585,Alyangula,AU,-13.8483,136.4192,88.41,57,13,6.22
586,Tecoanapa,MX,16.5167,-98.75,77.18,80,93,2.91
587,Ust-Uda,RU,54.1742,103.0304,7.47,62,100,11.52
588,Dengzhou,CN,37.8086,120.7508,60.4,54,0,10.54
589,Pilar,BR,-9.5972,-35.9567,71.53,92,15,4.03
590,Puerto Madero,MX,14.7208,-92.4215,79.7,76,62,2.1
591,Cefalu,IT,38.0386,14.0229,63.75,76,40,11.99
592,Hanstholm,DK,57.1167,8.6167,44.83,85,100,21.25
593,Itaobim,BR,-16.5667,-41.8333,68.38,97,100,1.88
594,Belyy Yar,RU,53.6039,91.3903,7.86,47,0,6.71
595,Mastic Beach,US,40.7668,-72.8521,46.04,72,0,5.75
596,Lakeside,US,30.13,-81.7682,64.96,85,100,11.5
597,Rogovatoye,RU,51.23,38.3818,16.83,97,87,3.09
598,Dumabato,PH,16.3167,121.7,86.04,60,86,3.24
599,San Joaquin,US,37.9333,-121.3011,55.36,60,0,4.61
600,Gorom-Gorom,BF,14.4439,-0.2361,70.99,17,0,10.09
601,Porto-Vecchio,FR,41.591,9.2795,60.46,59,0,16.11
602,Kargat,RU,55.1956,80.2811,-4.99,95,49,7.72
603,Sawtell,AU,-30.3833,153.1,77.02,53,32,10.36
604,Acajutla,SV,13.5928,-89.8275,78.49,73,66,4.97
605,Caborca,MX,30.5838,-111.101,55.53,33,0,2.98
606,Derzhavinsk,KZ,51.1,66.3167,22.69,94,100,12.57
607,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,71.85,57,35,5.19
608,Kupang,ID,-10.1667,123.5833,88.38,70,20,6.91
609,Aksay,RU,47.26,39.87,45.25,83,100,21.0
610,Hami,CN,42.8,93.45,38.44,42,100,4.36
611,Wajima,JP,37.4,136.9,59.68,67,75,6.91
612,Cururupu,BR,-1.8283,-44.8683,75.97,82,46,4.9
613,Haines Junction,CA,60.7522,-137.5108,28.35,93,100,0.0
614,Luanda,AO,-8.8368,13.2343,77.0,88,20,4.61
615,Cizre,TR,37.3272,42.1903,49.21,71,20,9.22
616,Progreso,MX,21.2833,-89.6667,77.11,86,65,7.49
617,Nesoddtangen,NO,59.8655,10.6594,36.48,1,100,7.92
618,Gurupi,BR,-11.7292,-49.0686,71.44,95,100,4.97
619,Xiangfan,CN,32.0422,112.1448,64.56,58,7,5.32
620,Yushu,CN,44.8,126.5333,32.07,59,100,5.5
621,Moro,PK,26.6646,68.0016,75.88,15,23,5.21
622,Swan Hill,AU,-35.3378,143.5544,74.34,33,5,10.13
623,Honiara,SB,-9.4333,159.95,86.07,69,70,5.5
624,Trincomalee,LK,8.5711,81.2335,80.53,69,100,7.09
625,Riohacha,CO,11.5444,-72.9072,75.29,88,3,7.07
626,Kosovska Mitrovica,XK,42.8833,20.8667,45.61,92,100,0.63
627,Moose Factory,CA,51.2585,-80.6094,26.6,86,100,9.22
628,Mukhen,RU,48.1,136.1,27.63,44,0,4.65
629,Roma,US,43.2128,-75.4557,31.73,94,62,3.69
630,Gushikawa,JP,26.3544,127.8686,72.99,82,75,8.05
631,Goderich,CA,43.7501,-81.7165,35.92,80,0,8.05
632,Tchollire,CM,8.4022,14.1698,66.96,28,29,2.75
633,Calama,CL,-22.4667,-68.9333,52.29,12,0,9.22
634,Guiren,CN,33.6697,118.1889,57.99,63,0,6.31
635,Safaga,EG,26.7292,33.9365,68.36,48,0,5.79
636,Lerik,AZ,38.7726,48.4128,40.64,45,3,3.94
637,Port Hardy,CA,50.6996,-127.4199,48.38,81,100,20.71
638,Barranca,PE,-10.75,-77.7667,65.21,87,15,6.08
639,Bubaque,GW,11.2833,-15.8333,81.75,64,98,7.96
640,Labuan,MY,5.2767,115.2417,84.56,74,20,8.05
641,Okha,RU,53.5739,142.9478,20.57,72,63,19.35
642,Gerede,TR,40.8008,32.1969,43.25,81,100,5.68
643,Huzhou,CN,30.8703,120.0933,60.6,71,98,5.7
644,Monterey,US,36.2505,-121.2516,50.18,15,62,3.78
645,Poronaysk,RU,49.2167,143.1167,28.8,55,32,7.99
646,Baie-Comeau,CA,49.2168,-68.1489,13.68,79,0,6.91
647,Rakiv Lis,UA,51.6217,24.9243,31.57,98,100,9.84
648,Bonthe,SL,7.5264,-12.505,77.38,80,100,2.86
649,Thanyaburi,TH,14.0211,100.7343,80.96,100,40,5.75
650,Evensk,RU,61.95,159.2333,0.5,78,99,8.72
651,Bilma,NE,18.6853,12.9164,61.25,26,14,11.61
652,Santiago Del Estero,AR,-27.7951,-64.2615,72.59,42,0,7.23
653,Pisco,PE,-13.7,-76.2167,66.25,88,0,5.75
654,Oranjestad,AW,12.524,-70.027,80.55,85,20,11.5
655,Basmat,IN,19.3167,77.1667,73.27,39,69,6.58
656,Vallentuna,SE,59.5344,18.0776,36.97,96,75,8.05
657,Jerantut,MY,3.936,102.3626,90.5,51,68,0.76
658,Sirnak,TR,37.5228,42.4594,45.01,41,1,6.24
659,Ureki,GE,41.9956,41.7786,64.36,61,81,5.12
660,Raga,SS,8.4596,25.678,71.11,42,9,1.97
661,Williamsport,US,41.2412,-77.0011,35.53,88,0,1.01
662,Tura,IN,25.5198,90.2201,74.19,60,7,1.34
663,Maragogi,BR,-9.0122,-35.2225,75.36,81,33,3.51
664,Manadhoo,MV,5.7667,73.3833,80.69,75,100,11.59
665,Surt,LY,31.2089,16.5887,63.34,46,0,15.03
666,Concarneau,FR,47.875,-3.9225,54.82,81,2,15.66
667,Huarmey,PE,-10.0681,-78.1522,66.25,86,6,6.24
668,Chapais,CA,49.7834,-74.8492,8.38,95,63,3.96
669,Ilobu,NG,7.8333,4.4833,68.63,79,8,3.98
670,San Jeronimo,PE,-11.9472,-75.2829,45.86,90,77,1.74
671,Yishui,CN,35.7847,118.6281,61.14,49,0,9.8
672,Fort-Shevchenko,KZ,44.5086,50.263,47.52,66,7,3.53
673,North Myrtle Beach,US,33.816,-78.68,57.11,66,0,10.36
674,Chibombo,ZM,-14.6569,28.0706,64.67,88,100,4.61
675,Saint-Pierre,RE,-21.3393,55.4781,82.56,53,0,3.44
676,Tateyama,JP,34.9833,139.8667,65.21,57,53,11.48
677,Rocky Mountain House,CA,52.3668,-114.9188,26.71,74,98,2.3
678,Kyra,RU,49.5776,111.9753,18.25,79,100,2.06
679,Bridgend,GB,51.5058,-3.5772,52.52,77,18,14.0
680,Uribia,CO,11.7139,-72.266,77.61,82,3,6.78
681,Mount Gambier,AU,-37.8333,140.7667,63.68,50,56,9.15
682,Aquiraz,BR,-3.9014,-38.3911,80.19,80,37,9.42
683,Zaysan,KZ,47.4667,84.8667,12.78,83,64,1.1
684,Tirat Karmel,IL,32.7617,34.9719,65.68,57,57,4.21
685,Anqing,CN,30.5092,117.0506,66.87,56,16,4.09
686,Aden,YE,12.7794,45.0367,79.27,71,0,17.45
687,Tocopilla,CL,-22.092,-70.1979,67.84,56,84,1.01
688,La Ronge,CA,55.1001,-105.2842,32.22,69,0,6.91
689,Jalu,LY,29.0331,21.5482,57.58,65,1,8.88
690,Tingi,TZ,-11.3,35.0333,65.01,83,43,4.83
691,Orcopampa,PE,-15.2661,-72.3417,41.13,92,100,3.29
692,Matamoros,MX,25.5333,-103.25,66.11,37,43,2.08
